qid,set,kind,field,question,gold_answer,arm,model_answer,correct,route,latency_ms,cost_usd
lo0020,single,lookup,total,How much was the receipt from KEDA PAPAN YEW CHJAN on 08 March 2018?,312.70,A · dense RAG (MiniLM),135.68,False,,416,0.0
lo0021,single,lookup,total,How much was the receipt from MR. D.I.Y. (KUCHAI) SDN BHD on 11 January 2016?,7.00,A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
lo0022,single,lookup,date,When was the DREAM ARTS receipt for 15.00 issued?,29/03/2018,A · dense RAG (MiniLM),29/03/2018,True,,475,0.0
lo0023,single,lookup,date,When was the SWC ENTERPRISE SDN BHD receipt for 4.00 issued?,06/03/2018,A · dense RAG (MiniLM),06/03/2018,True,,381,0.0
lo0024,single,lookup,date,When was the SUPER TERMINAL SDN BHD receipt for 132.50 issued?,20/01/2018,A · dense RAG (MiniLM),NOT_FOUND,False,,308,0.0
lo0025,single,lookup,date,When was the SYARIKAT PERNIAGAAN GIN KEE receipt for 11.13 issued?,15/01/2018,A · dense RAG (MiniLM),NOT_FOUND,False,,320,0.0
lo0026,single,lookup,address,What is the address on the GARDENIA BAKERIES (KL) SDN BHD receipt from 16 October 2017?,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR.",A · dense RAG (MiniLM),NOT_FOUND,False,,444,0.0
lo0027,single,lookup,total,How much was the receipt from SYARIKAT PERNIAGAAN GIN KEE on 30 December 2017?,89.04,A · dense RAG (MiniLM),89.04,True,,383,0.0
lo0028,single,lookup,address,What is the address on the BHPETROL PERMAS JAYA 2 receipt from 08 May 2018?,"LOT PTD 101051 JALAN PERMAS 10/10 81750 MASAI, JOHOR",A · dense RAG (MiniLM),"Jalan Permas 10/10
81750 Masai, Johor",True,,562,0.0
lo0029,single,lookup,total,How much was the receipt from B & BEST RESTAURANT on 19 April 2017?,14.85,A · dense RAG (MiniLM),14.85,True,,363,0.0
lo0030,single,lookup,date,When was the UNIHAKKA INTERNATIONAL SDN BHD receipt for 8.90 issued?,14/04/2018,A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
lo0031,single,lookup,total,How much was the receipt from KEDAI BUKU NEW ACHEIVERS on 15 September 2017?,48.00,A · dense RAG (MiniLM),48.00,True,,416,0.0
lo0032,single,lookup,total,How much was the receipt from HENG KEE DELIGHTS BAK KUT TEH. on 04 January 2018?,42.00,A · dense RAG (MiniLM),42.00,True,,364,0.0
lo0033,single,lookup,address,What is the address on the 99 SPEED MART S/B receipt from 26 March 2018?,"LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1330 JLN KENANGA",A · dense RAG (MiniLM),NOT_FOUND,False,,267,0.0
lo0034,single,lookup,total,How much was the receipt from UNIHAKKA INTERNATIONAL SDN BHD on 06 April 2018?,7.60,A · dense RAG (MiniLM),NOT_FOUND,False,,294,0.0
lo0035,single,lookup,date,When was the GERBANG ALAF RESTAURANTS SDN BHD receipt for 19.00 issued?,30/05/2018,A · dense RAG (MiniLM),30/05/2018,True,,408,0.0
lo0036,single,lookup,total,How much was the receipt from AEON CO. (M) BHD on 21 March 2018?,65.10,A · dense RAG (MiniLM),65.10,True,,365,0.0
lo0037,single,lookup,date,When was the PERNIAGAAN ZHENG HUI receipt for 436.20 issued?,09/02/2018,A · dense RAG (MiniLM),NOT_FOUND,False,,294,0.0
lo0038,single,lookup,address,What is the address on the FIVE STAR CASH & CARRY receipt from 05 January 2017?,"G.23 & G.22, PLAZA SERI SETIA, NO.1 JALAN SS 9/1, 47300 PJ, SELANGOR.",A · dense RAG (MiniLM),NOT_FOUND,False,,294,0.0
lo0039,single,lookup,address,What is the address on the GARDENIA BAKERIES (KL) SDN BHD receipt from 26 September 2017?,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR.",A · dense RAG (MiniLM),"Lot 3, Jalan Pelabur 23/1,
40300 Shah Alam, Selangor.",True,,805,0.0
lo0040,single,lookup,total,How much was the receipt from BOOK TALK (MUTIARA RINI) SDN BHD on 21 June 2018?,9.30,A · dense RAG (MiniLM),9.30,True,,323,0.0
lo0041,single,lookup,total,How much was the receipt from UNIHAKKA INTERNATIONAL SDN BHD on 05 April 2018?,6.90,A · dense RAG (MiniLM),NOT_FOUND,False,,294,0.0
lo0042,single,lookup,address,What is the address on the ANEKA INTERTRADE MARKETING SDN BHD receipt from 19 June 2017?,"150B, JALAN TUDM,KG BARU SUBANG 40150 SHAH ALAM, SELANGOR DARUL EHSAN, MALAYSIA.",A · dense RAG (MiniLM),"150B, JALAN TUDM, KG BARU SUBANG, 40150 SHAH ALAM, SELANGOR DARUL EHSAN, MALAYSIA",True,,863,0.0
lo0043,single,lookup,total,How much was the receipt from KEDAI UBAT & RUNCIT HONG NING SDN. BHD. on 21 December 2016?,8.00,A · dense RAG (MiniLM),29.10,False,,364,0.0
lo0044,single,lookup,address,What is the address on the 99 SPEED MART S/B receipt from 19 October 2016?,"LOT P.T. 33198, BATU 4 JALAN KAPAR, MUKIM KAPAR 42100 KLANG, SELANGOR 1558-TMN PUSAT KEPONG",A · dense RAG (MiniLM),"LOT P.T. 33198, BATU 4
JALAN KAPAR, MUKIM KAPAR
42100 KLANG, SELANGOR",True,,823,0.0
lo0045,single,lookup,total,How much was the receipt from SANYU STATIONERY SHOP on 24 September 2017?,8.70,A · dense RAG (MiniLM),8.70,True,,388,0.0
lo0046,single,lookup,total,How much was the receipt from VIVOPAC MARKETING SDN BHD on 13 September 2017?,52.45,A · dense RAG (MiniLM),52.45,True,,383,0.0
lo0047,single,lookup,total,How much was the receipt from RESTORAN WAN SHENG on 21 March 2018?,4.80,A · dense RAG (MiniLM),NOT_FOUND,False,,320,0.0
lo0048,single,lookup,address,What is the address on the UNIHAKKA INTERNATIONAL SDN BHD receipt from 13 June 2018?,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU, JOHOR",A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
lo0049,single,lookup,address,What is the address on the SEN LEE HEONG RESTAURANT receipt from 12 January 2018?,"G-0-1 ,M.AVENUE NO.1 ,JLN 1/38A, SEGAMBUT BAHAGIA,51200, K.LUMPUL",A · dense RAG (MiniLM),"G-O-1,M.AVENUE NO.1,JLN 1/38A, SEGAMBUT BAHAGIA, 51200, K. LUMPUL",False,,864,0.0
lo0050,single,lookup,total,How much was the receipt from 99 SPEED MART S/B on 31 March 2018?,4.00,A · dense RAG (MiniLM),NOT_FOUND,False,,266,0.0
lo0051,single,lookup,address,What is the address on the THE TOAST F&B SDN BHD receipt from 19 May 2018?,"LOT 2110&2111 JALAN PERMAS UTARA BANDAR BARU PERMAS 81750,JOHOR BAHRU JOHOR",A · dense RAG (MiniLM),NOT_FOUND,False,,291,0.0
lo0052,single,lookup,address,What is the address on the 118 MJ MOOKATA HOUSE receipt from 11 June 2018?,"NO.7G,JALAN PERMAS 11, BANDAR BARU PERMAS JAYA, 81750 MASAI, JOHOR.",A · dense RAG (MiniLM),NOT_FOUND,False,,292,0.0
lo0053,single,lookup,total,How much was the receipt from PETRON BKT LANJAN SB on 01 February 2018?,4.90,A · dense RAG (MiniLM),NOT_FOUND,False,,340,0.0
lo0054,single,lookup,date,When was the UNIPHARM PHARMACY receipt for 24.90 issued?,05/04/2018,A · dense RAG (MiniLM),05/Apr/2018,False,,502,0.0
lo0055,single,lookup,total,How much was the receipt from KEDAI PAPAN YEW CHUAN on 12 March 2018?,283.55,A · dense RAG (MiniLM),NOT_FOUND,False,,374,0.0
lo0056,single,lookup,address,What is the address on the AEON CO. (M) BHD receipt from 12 April 2018?,"3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",A · dense RAG (MiniLM),NOT_FOUND,False,,269,0.0
lo0057,single,lookup,total,How much was the receipt from BEMED (SP) SDN. BHD. on 01 April 2017?,165.00,A · dense RAG (MiniLM),NOT_FOUND,False,,269,0.0
lo0058,single,lookup,address,What is the address on the GERBANG ALAF RESTAURANTS SDN BHD receipt from 26 May 2018?,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR",A · dense RAG (MiniLM),NOT_FOUND,False,,306,0.0
lo0059,single,lookup,date,When was the OLIVE9 PHARMACY SDN BHD receipt for 12.15 issued?,31/03/2017,A · dense RAG (MiniLM),31/03/2017,True,,452,0.0
lo0060,single,lookup,address,What is the address on the CPI ROCKU SDN. BHD. receipt from 19 February 2018?,"LOT F355/356/357, FIRST FLOOR, RAINFOREST, 1 UTAMA SHOPPING CENTRE, LEBUH BANDAR UTAMA, 47800 PETALING JAYA",A · dense RAG (MiniLM),NOT_FOUND,False,,293,0.0
lo0061,single,lookup,total,How much was the receipt from TRIPLE SIX POINT ENTERPRISE 666 on 22 March 2018?,22.60,A · dense RAG (MiniLM),NOT_FOUND,False,,267,0.0
lo0062,single,lookup,address,What is the address on the RESTAURANT JIAWEI JIAWEI HOUSE receipt from 23 February 2018?,"13, JLN TASIK UTAMA 8 MEDAN NIAGA DAMAI SG BESI",A · dense RAG (MiniLM),"13, JLN TASIK UTAMA 8
MEDAN NIAGA DAMAI SG BESI
57000 KL",True,,738,0.0
lo0063,single,lookup,date,When was the MR. D.I.Y. (M) SDN BHD receipt for 59.20 issued?,10/01/2016,A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
lo0064,single,lookup,total,How much was the receipt from PAPPARICH BMC on 29 June 2018?,46.90,A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
lo0065,single,lookup,total,How much was the receipt from SUPER SEVEN CASH & CARRY SDN BHD on 01 February 2018?,42.10,A · dense RAG (MiniLM),NOT_FOUND,False,,322,0.0
lo0066,single,lookup,total,How much was the receipt from GARDENIA BAKERIES (KL) SDN BHD on 23 July 2017?,26.58,A · dense RAG (MiniLM),NOT_FOUND,False,,441,0.0
lo0067,single,lookup,total,How much was the receipt from 99 SPEED MART S/B on 07 February 2017?,37.45,A · dense RAG (MiniLM),37.45,True,,310,0.0
lo0068,single,lookup,address,What is the address on the ECONSAVE CASH & CARRY (FC) S/B receipt from 22 March 2018?,"LOT GO1, KL FESTIVAL CITY, NO. 67 JIN IBU KOTA TMN DANAU KOTA, KL",A · dense RAG (MiniLM),NOT_FOUND,False,,307,0.0
lo0069,single,lookup,total,How much was the receipt from YONG TAT HARDWARE TRADING on 13 March 2018?,72.00,A · dense RAG (MiniLM),NOT_FOUND,False,,308,0.0
lo0070,single,lookup,total,How much was the receipt from MUN HENG ELECTRICAL & HARDWARE SUPPLY on 01 February 2018?,7.00,A · dense RAG (MiniLM),7.00,True,,298,0.0
lo0071,single,lookup,date,When was the MR. D.I.Y. (KUCHAI) SDN BHD receipt for 26.40 issued?,01/02/2016,A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
lo0072,single,lookup,total,How much was the receipt from BECON ENTERPRISE SDN BHD on 13 November 2017?,270.10,A · dense RAG (MiniLM),NOT_FOUND,False,,269,0.0
lo0073,single,lookup,date,When was the BENS INDEPENDENT GROCER SDN. BHD receipt for 81.00 issued?,08/03/2018,A · dense RAG (MiniLM),NOT_FOUND,False,,269,0.0
lo0074,single,lookup,total,How much was the receipt from SEGI CASH & CARRY SDN.BHD on 06 February 2017?,27.00,A · dense RAG (MiniLM),NOT_FOUND,False,,306,0.0
lo0075,single,lookup,date,When was the 99 SPEED MART S/B receipt for 98.90 issued?,28/01/2018,A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
lo0076,single,lookup,total,How much was the receipt from PASARAYA BORONG PINTAR SDN BHD on 09 March 2018?,10.40,A · dense RAG (MiniLM),NOT_FOUND,False,,306,0.0
lo0077,single,lookup,address,What is the address on the GERBANG ALAF RESTAURANTS SDN BHD receipt from 27 April 2018?,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39, 47400 PETALING JAYA SELANGOR",A · dense RAG (MiniLM),NOT_FOUND,False,,306,0.0
lo0078,single,lookup,total,How much was the receipt from BEMED (SP) SDN. BHD. on 20 January 2017?,203.00,A · dense RAG (MiniLM),165.00,False,,326,0.0
lo0079,single,lookup,total,How much was the receipt from ROYALTEA on 09 May 2018?,10.90,A · dense RAG (MiniLM),NOT_FOUND,False,,293,0.0
lo0080,single,lookup,date,When was the SYARIKAT PERNIAGAAN GIN KEE receipt for 190.80 issued?,25/01/2018,A · dense RAG (MiniLM),NOT_FOUND,False,,339,0.0
lo0081,single,lookup,total,How much was the receipt from PELITA SAMUDRA PERTAMA (M) SDN BHD. on 03 June 2018?,61.70,A · dense RAG (MiniLM),NOT_FOUND,False,,323,0.0
lo0082,single,lookup,total,How much was the receipt from GARDENIA BAKERIES (KL) SDN BHD on 31 August 2017?,1.52,A · dense RAG (MiniLM),1.52,True,,404,0.0
lo0083,single,lookup,date,When was the KEDAI UBAT & RUNCIT HONG NING SDN. BHD. receipt for 676.00 issued?,02/02/2016,A · dense RAG (MiniLM),NOT_FOUND,False,,338,0.0
lo0084,single,lookup,total,How much was the receipt from SANYU STATIONERY SHOP on 16 December 2017?,8.70,A · dense RAG (MiniLM),NOT_FOUND,False,,359,0.0
lo0085,single,lookup,address,What is the address on the SUPER NINETY NINE SDN.BHD. receipt from 31 May 2018?,"NO.3343, GROUND FLOOR, JALAN 18/32, TAMAN SRI SERDANG, 43300 SERI KEMBANGAN,",A · dense RAG (MiniLM),NOT_FOUND,False,,321,0.0
lo0086,single,lookup,total,How much was the receipt from THONG RECIPE on 27 June 2018?,58.70,A · dense RAG (MiniLM),58.70,True,,381,0.0
lo0087,single,lookup,total,How much was the receipt from YHM AEON TEBRAU CITY on 11 March 2018?,49.70,A · dense RAG (MiniLM),NOT_FOUND,False,,293,0.0
lo0088,single,lookup,address,What is the address on the HON HWA HARDWARE TRADING receipt from 11 February 2017?,"NO 37, JALAN MANIS 7, TAMAN SEGAR, 56100 CHERAS, KUALA LUMPUR.",A · dense RAG (MiniLM),"NO 37, JALAN MANIS 7. TAMAN SEGAR, 56100 CHERAS, KUALA LUMPUR.",True,,789,0.0
lo0089,single,lookup,date,When was the UNIHAKKA INTERNATIONAL SDN BHD receipt for 7.80 issued?,11/05/2018,A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
lo0090,single,lookup,total,How much was the receipt from BEMED (SP) SDN BHD. on 27 March 2018?,308.70,A · dense RAG (MiniLM),NOT_FOUND,False,,269,0.0
lo0091,single,lookup,address,What is the address on the SKL DAMANSARA ENTERPRISE receipt from 28 July 2017?,"69G, JALAN SS21/60, DAMANSARA UTAMA, 47400 PETALING JAYA, SELANGOR.",A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
lo0092,single,lookup,date,When was the GARDENIA BAKERIES (KL) SDN BHD receipt for 55.14 issued?,20/08/2017,A · dense RAG (MiniLM),NOT_FOUND,False,,417,0.0
lo0093,single,lookup,address,What is the address on the SANYU STATIONERY SHOP receipt from 23 November 2017?,"NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM",A · dense RAG (MiniLM),NOT_FOUND,False,,360,0.0
lo0094,single,lookup,total,How much was the receipt from SIN LIANHAP SDN BHD on 05 February 2018?,7.30,A · dense RAG (MiniLM),7.30,True,,367,0.0
lo0095,single,lookup,address,What is the address on the EXQUISITE GARDEN SDN BHD receipt from 03 June 2018?,"LOT NO R134,GIANT HYPERMARKET PLENTONG NO3, JALAN MASAI LAMA 81750 MASAI. JAHOR BAHRU",A · dense RAG (MiniLM),NOT_FOUND,False,,292,0.0
lo0096,single,lookup,total,How much was the receipt from MY MYDIN SDN BHD on 15 January 2018?,5.50,A · dense RAG (MiniLM),5.50,True,,340,0.0
lo0097,single,lookup,address,What is the address on the RESTORAN WAN SHENG receipt from 17 March 2018?,"NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR",A · dense RAG (MiniLM),NOT_FOUND,False,,269,0.0
lo0098,single,lookup,address,What is the address on the KOH SENG HARDWARE receipt from 01 February 2018?,"NO. 939, BATU LIMA, JALAN IPOH, 51200 KUALA LUMPUR.",A · dense RAG (MiniLM),"NO. 939, BATU LIMA, JALAN IPOH, 51200 KUALA LUMPUR",True,,666,0.0
lo0099,single,lookup,address,What is the address on the GARDENIA BAKERIES (KL) SDN BHD receipt from 11 October 2017?,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR.",A · dense RAG (MiniLM),NOT_FOUND,False,,444,0.0
lo0100,single,lookup,address,What is the address on the YIN MA (M) SDN.BHD. receipt from 31 January 2016?,"NO.2, JALAN UDANG SIAR 2, TAMAN SRI SEGAMBUT, 52000 KUALA LUMPUR.",A · dense RAG (MiniLM),NOT_FOUND,False,,269,0.0
lo0101,single,lookup,address,What is the address on the UROKO JAPANESE CUISINE SDN BHD receipt from 20 March 2018?,"22A-1, JALAN 17/54, SECTION 17, 46400 PETALING JAYA, SELANGOR.",A · dense RAG (MiniLM),"22A-1, JALAN 17/54, SECTION 17, 46400 PETALING JAYA, SELANGOR.",True,,919,0.0
lo0102,single,lookup,address,What is the address on the SWC ENTERPRISE SDN BHD receipt from 02 January 2018?,"8 & 10, JALAN IJOK PERMAI 1, PUSAT NIAGA IJOK PERMAI, 48000 IJOK, SELANGOR.",A · dense RAG (MiniLM),"8 & 10, Jalan Ijok Permai 1, Pusat Niaga Ijok Permai, 48000 Ijok, Selangor.",True,,810,0.0
lo0103,single,lookup,address,What is the address on the VIVOPAC MARKETING SDN BHD receipt from 17 January 2017?,14 JALAN MANIS 4 TAMAN SEGAR 56100 KL,A · dense RAG (MiniLM),14 JALAN MANIS 4 TAMAN SEGAR 56100 KL,True,,614,0.0
lo0104,single,lookup,total,How much was the receipt from GERBANG ALAF RESTAURANTS SDN BHD on 18 January 2018?,38.90,A · dense RAG (MiniLM),NOT_FOUND,False,,308,0.0
lo0105,single,lookup,address,What is the address on the MOONLIGHT CAKE HOUSE SDN BHD receipt from 07 June 2018?,"NO.1, JALAN PERMAS 10/5, BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU, JOHOR.",A · dense RAG (MiniLM),"No.1, Jalan Permas 10/5, Bandar Baru Permas Jaya
81750 Johor Bahru, Johor",True,,871,0.0
lo0106,single,lookup,address,What is the address on the DEWINA HOST SDN BHD receipt from 27 March 2018?,"LOT SATMZ 23, MEZZANINE LEVEL SATELLITE BUILDING KUALA LUMPUR INTERNATIONAL AIRPORT",A · dense RAG (MiniLM),"Lot SATMZ 23, Mezzanine Level
Satellite Building
Kuala Lumpur International Airport",True,,540,0.0
lo0107,single,lookup,total,How much was the receipt from GARDENIA BAKERIES (KL) SDN BHD on 02 September 2017?,48.57,A · dense RAG (MiniLM),NOT_FOUND,False,,441,0.0
lo0108,single,lookup,total,How much was the receipt from POPULAR BOOK CO. (M) SDN BHD on 20 August 2017?,5.05,A · dense RAG (MiniLM),NOT_FOUND,False,,322,0.0
lo0109,single,lookup,address,What is the address on the MR. D.I.Y. (M) SDN BHD receipt from 06 May 2016?,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR",A · dense RAG (MiniLM),NOT_FOUND,False,,269,0.0
lo0110,single,lookup,date,When was the UNIHAKKA INTERNATIONAL SDN BHD receipt for 6.60 issued?,20/03/2018,A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
lo0111,single,lookup,total,How much was the receipt from PASAR MINI JIN SENG on 03 March 2018?,33.80,A · dense RAG (MiniLM),NOT_FOUND,False,,320,0.0
lo0112,single,lookup,total,How much was the receipt from MR. D.I.Y. (M) SDN BHD on 22 April 2018?,27.20,A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
lo0113,single,lookup,date,When was the MODERN DEPOT SDN BHD receipt for 150.00 issued?,04/12/2016,A · dense RAG (MiniLM),04/12/2016,True,,407,0.0
lo0114,single,lookup,total,How much was the receipt from TEO HENG STATIONERY & BOOKS on 15 March 2018?,127.20,A · dense RAG (MiniLM),NOT_FOUND,False,,373,0.0
lo0115,single,lookup,address,What is the address on the CROSS CHANNEL NETWORK SDN. BHD. receipt from 29 January 2018?,"47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.",A · dense RAG (MiniLM),"47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.",True,,889,0.0
lo0116,single,lookup,address,What is the address on the MR. D.I.Y. (M) SDN BHD receipt from 21 March 2018?,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR",A · dense RAG (MiniLM),NOT_FOUND,False,,269,0.0
lo0117,single,lookup,total,How much was the receipt from UNIHAKKA INTERNATIONAL SDN BHD on 07 March 2018?,8.20,A · dense RAG (MiniLM),NOT_FOUND,False,,293,0.0
lo0118,single,lookup,address,What is the address on the NSK TRADE CITY-SELAYANG receipt from 27 October 2017?,LOT 4674 & 4675 SELAYANG BATU 8 JALAN IPOH 68100 BATU CAVES,A · dense RAG (MiniLM),"LOT 4674 & 4675 SELAYANG BATU 8
JALAN IPOH 68100 BATU CAVES",True,,795,0.0
lo0119,single,lookup,address,What is the address on the KEDAI UBAT & RUNCIT HONG NING SDN. BHD. receipt from 24 December 2016?,"NO.8,JALAN LANG KUNING, KEPONG BARU, 52100 KUALA LUMPUR",A · dense RAG (MiniLM),NOT_FOUND,False,,307,0.0
lo0120,single,lookup,total,How much was the receipt from UNIHAKKA INTERNATIONAL SDN BHD on 04 May 2018?,6.60,A · dense RAG (MiniLM),NOT_FOUND,False,,294,0.0
lo0121,single,lookup,total,How much was the receipt from GARDENIA BAKERIES (KL) SDN BHD on 29 August 2017?,37.90,A · dense RAG (MiniLM),NOT_FOUND,False,,416,0.0
lo0122,single,lookup,date,When was the ROYALTEA receipt for 13.10 issued?,02/06/2018,A · dense RAG (MiniLM),NOT_FOUND,False,,308,0.0
lo0123,single,lookup,address,What is the address on the GARDENIA BAKERIES (KL) SDN BHD receipt from 01 September 2017?,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR.",A · dense RAG (MiniLM),NOT_FOUND,False,,443,0.0
lo0124,single,lookup,address,What is the address on the SYARIKAT KAM LAI SEONG SDN BHD receipt from 08 March 2018?,"NO. 1442, JALAN SK 11/5, SERI KEMBANGAN 43300 SELANGOR",A · dense RAG (MiniLM),NOT_FOUND,False,,269,0.0
lo0125,single,lookup,address,What is the address on the KEDAI BUKU NEW ACHEIVERS receipt from 28 December 2017?,"NO. 12 & 14, JALAN JINJANG 27/54 TAMAN ALAM MEGAH, SEKSYEN 27 40400 SHAH ALAM, SELANGOR D. E.",A · dense RAG (MiniLM),"NO. 12 & 14, JALAN JINJANG 27/54 TAMAN ALAM MEGAH, SEKSYEN 27 40400 SHAH ALAM, SELANGOR D. E.",True,,1125,0.0
